icdTerms,icdCodes
<http://purl.bioontology.org/ontology/ICD9CM/002.0>,002.0
<http://purl.bioontology.org/ontology/ICD9CM/003.0>,003.0
<http://purl.bioontology.org/ontology/ICD9CM/003.1>,003.1
<http://purl.bioontology.org/ontology/ICD9CM/003.29>,003.29
<http://purl.bioontology.org/ontology/ICD9CM/003.8>,003.8
<http://purl.bioontology.org/ontology/ICD9CM/003.9>,003.9
<http://purl.bioontology.org/ontology/ICD9CM/004.3>,004.3
<http://purl.bioontology.org/ontology/ICD9CM/004.8>,004.8
<http://purl.bioontology.org/ontology/ICD9CM/004.9>,004.9
<http://purl.bioontology.org/ontology/ICD9CM/005.0>,005.0
<http://purl.bioontology.org/ontology/ICD9CM/005.81>,005.81
<http://purl.bioontology.org/ontology/ICD9CM/005.89>,005.89
<http://purl.bioontology.org/ontology/ICD9CM/005.9>,005.9
<http://purl.bioontology.org/ontology/ICD9CM/006.0>,006.0
<http://purl.bioontology.org/ontology/ICD9CM/006.9>,006.9
<http://purl.bioontology.org/ontology/ICD9CM/007.0>,007.0
<http://purl.bioontology.org/ontology/ICD9CM/007.1>,007.1
<http://purl.bioontology.org/ontology/ICD9CM/007.2>,007.2
<http://purl.bioontology.org/ontology/ICD9CM/007.4>,007.4
<http://purl.bioontology.org/ontology/ICD9CM/007.8>,007.8
<http://purl.bioontology.org/ontology/ICD9CM/008.41>,008.41
<http://purl.bioontology.org/ontology/ICD9CM/008.43>,008.43
<http://purl.bioontology.org/ontology/ICD9CM/008.45>,008.45
<http://purl.bioontology.org/ontology/ICD9CM/008.46>,008.46
<http://purl.bioontology.org/ontology/ICD9CM/008.47>,008.47
<http://purl.bioontology.org/ontology/ICD9CM/008.49>,008.49
<http://purl.bioontology.org/ontology/ICD9CM/008.5>,008.5
<http://purl.bioontology.org/ontology/ICD9CM/008.61>,008.61
<http://purl.bioontology.org/ontology/ICD9CM/008.62>,008.62
<http://purl.bioontology.org/ontology/ICD9CM/008.63>,008.63
<http://purl.bioontology.org/ontology/ICD9CM/008.67>,008.67
<http://purl.bioontology.org/ontology/ICD9CM/008.69>,008.69
<http://purl.bioontology.org/ontology/ICD9CM/008.8>,008.8
<http://purl.bioontology.org/ontology/ICD9CM/009.0>,009.0
<http://purl.bioontology.org/ontology/ICD9CM/009.1>,009.1
<http://purl.bioontology.org/ontology/ICD9CM/009.2>,009.2
<http://purl.bioontology.org/ontology/ICD9CM/009.3>,009.3
<http://purl.bioontology.org/ontology/ICD9CM/010.00>,010.00
<http://purl.bioontology.org/ontology/ICD9CM/010.15>,010.15
<http://purl.bioontology.org/ontology/ICD9CM/010.84>,010.84
<http://purl.bioontology.org/ontology/ICD9CM/011.10>,011.10
<http://purl.bioontology.org/ontology/ICD9CM/011.20>,011.20
<http://purl.bioontology.org/ontology/ICD9CM/011.22>,011.22
<http://purl.bioontology.org/ontology/ICD9CM/011.23>,011.23
<http://purl.bioontology.org/ontology/ICD9CM/011.25>,011.25
<http://purl.bioontology.org/ontology/ICD9CM/011.26>,011.26
<http://purl.bioontology.org/ontology/ICD9CM/011.30>,011.30
<http://purl.bioontology.org/ontology/ICD9CM/011.40>,011.40
<http://purl.bioontology.org/ontology/ICD9CM/011.90>,011.90
<http://purl.bioontology.org/ontology/ICD9CM/011.92>,011.92
<http://purl.bioontology.org/ontology/ICD9CM/011.93>,011.93
<http://purl.bioontology.org/ontology/ICD9CM/011.94>,011.94
<http://purl.bioontology.org/ontology/ICD9CM/011.95>,011.95
<http://purl.bioontology.org/ontology/ICD9CM/011.96>,011.96
<http://purl.bioontology.org/ontology/ICD9CM/012.00>,012.00
<http://purl.bioontology.org/ontology/ICD9CM/012.10>,012.10
<http://purl.bioontology.org/ontology/ICD9CM/012.16>,012.16
<http://purl.bioontology.org/ontology/ICD9CM/012.20>,012.20
<http://purl.bioontology.org/ontology/ICD9CM/012.30>,012.30
<http://purl.bioontology.org/ontology/ICD9CM/012.80>,012.80
<http://purl.bioontology.org/ontology/ICD9CM/012.84>,012.84
<http://purl.bioontology.org/ontology/ICD9CM/013.11>,013.11
<http://purl.bioontology.org/ontology/ICD9CM/013.6>,013.6
<http://purl.bioontology.org/ontology/ICD9CM/013.60>,013.60
<http://purl.bioontology.org/ontology/ICD9CM/013.90>,013.90
<http://purl.bioontology.org/ontology/ICD9CM/014.00>,014.00
<http://purl.bioontology.org/ontology/ICD9CM/014.82>,014.82
<http://purl.bioontology.org/ontology/ICD9CM/015.00>,015.00
<http://purl.bioontology.org/ontology/ICD9CM/016.50>,016.50
<http://purl.bioontology.org/ontology/ICD9CM/016.70>,016.70
<http://purl.bioontology.org/ontology/ICD9CM/017.00>,017.00
<http://purl.bioontology.org/ontology/ICD9CM/017.02>,017.02
<http://purl.bioontology.org/ontology/ICD9CM/017.05>,017.05
<http://purl.bioontology.org/ontology/ICD9CM/017.20>,017.20
<http://purl.bioontology.org/ontology/ICD9CM/017.90>,017.90
<http://purl.bioontology.org/ontology/ICD9CM/017.92>,017.92
<http://purl.bioontology.org/ontology/ICD9CM/018.90>,018.90
<http://purl.bioontology.org/ontology/ICD9CM/027.0>,027.0
<http://purl.bioontology.org/ontology/ICD9CM/027.2>,027.2
<http://purl.bioontology.org/ontology/ICD9CM/031>,031
<http://purl.bioontology.org/ontology/ICD9CM/031.0>,031.0
<http://purl.bioontology.org/ontology/ICD9CM/031.1>,031.1
<http://purl.bioontology.org/ontology/ICD9CM/031.2>,031.2
