p,count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,403512
http://www.w3.org/2002/07/owl#annotatedProperty,263299
http://www.w3.org/2002/07/owl#annotatedSource,263299
http://www.w3.org/2002/07/owl#annotatedTarget,263299
http://www.geneontology.org/formats/oboInOwl#source,148666
http://www.geneontology.org/formats/oboInOwl#hasDbXref,136702
http://www.w3.org/2000/01/rdf-schema#label,23520
http://www.geneontology.org/formats/oboInOwl#id,23500
http://www.w3.org/2002/07/owl#onProperty,22395
http://www.w3.org/2002/07/owl#someValuesFrom,22395
http://www.w3.org/2000/01/rdf-schema#subClassOf,22017
http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,17630
http://purl.obolibrary.org/obo/IAO_0000115,15424
http://www.w3.org/1999/02/22-rdf-syntax-ns#first,15344
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,15344
http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,11373
http://www.geneontology.org/formats/oboInOwl#inSubset,10905
http://www.w3.org/2002/07/owl#intersectionOf,7446
http://www.w3.org/2002/07/owl#equivalentClass,7328
http://www.w3.org/2000/01/rdf-schema#seeAlso,3039
http://www.w3.org/2002/07/owl#deprecated,1758
http://purl.obolibrary.org/obo/IAO_0100001,1542
http://www.w3.org/2000/01/rdf-schema#comment,986
http://purl.obolibrary.org/obo/mondo#excluded_subClassOf,720
http://www.geneontology.org/formats/oboInOwl#hasSynonymType,538
http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,289
http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,261
http://www.geneontology.org/formats/oboInOwl#consider,116
http://purl.obolibrary.org/obo/IAO_0000231,114
http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,112
http://www.w3.org/2002/07/owl#disjointWith,69
http://purl.org/dc/elements/1.1/date,55
http://purl.org/dc/elements/1.1/creator,54
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,34
http://www.geneontology.org/formats/oboInOwl#shorthand,17
http://www.w3.org/2002/07/owl#unionOf,11
http://www.w3.org/2004/02/skos/core#broadMatch,11
http://www.w3.org/2004/02/skos/core#narrowMatch,10
http://purl.obolibrary.org/obo/mondo#excluded_synonym,7
http://www.w3.org/2002/07/owl#propertyChainAxiom,7
http://www.geneontology.org/formats/oboInOwl#created_by,5
http://www.geneontology.org/formats/oboInOwl#is_metadata_tag,4
http://www.geneontology.org/formats/oboInOwl#notes,3
http://www.geneontology.org/formats/oboInOwl#is_class_level,2
http://purl.obolibrary.org/obo/RO_0002161,1
http://purl.obolibrary.org/obo/mondo#BOAD,1
http://purl.obolibrary.org/obo/mondo#EXACTS,1
http://purl.obolibrary.org/obo/mondo#may_be_merged_into,1
http://purl.obolibrary.org/obo/mondo#pathogenesis,1
http://purl.obolibrary.org/obo/mondo#related,1
http://purl.org/dc/elements/1.1/title,1
http://purl.org/dc/terms/description,1
http://purl.org/dc/terms/license,1
http://purl.org/dc/terms/source,1
http://www.geneontology.org/formats/oboInOwl#creation_date,1
http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,1
http://www.geneontology.org/formats/oboInOwl#modified_by,1
http://www.geneontology.org/formats/oboInOwl#severity,1
http://www.w3.org/2002/07/owl#imports,1
http://www.w3.org/2002/07/owl#versionIRI,1
http://xmlns.com/foaf/0.1/homepage,1
