mid,versionedIcd
MONDO:0000916,ICD10CM:A02.0A02.0
MONDO:0005950,ICD10CM:A02.0A02.0
MONDO:0017944,ICD10CM:A02.0A02.0
MONDO:0021678,ICD10CM:A02.0A02.0
MONDO:0029000,ICD10CM:A02.0A02.0
MONDO:0044965,ICD10CM:A02.0A02.0
MONDO:0000827,ICD10CM:A02.29A02.29
MONDO:0000916,ICD10CM:A02.29A02.29
MONDO:0017944,ICD10CM:A02.29A02.29
MONDO:0021678,ICD10CM:A02.29A02.29
MONDO:0044965,ICD10CM:A02.29A02.29
MONDO:0000827,ICD10CM:A02.9A02.9
MONDO:0000916,ICD10CM:A02.9A02.9
MONDO:0017944,ICD10CM:A02.9A02.9
MONDO:0021678,ICD10CM:A02.9A02.9
MONDO:0044965,ICD10CM:A02.9A02.9
MONDO:0000252,ICD10CM:A03.3A03.3
MONDO:0005265,ICD10CM:A03.3A03.3
MONDO:0019345,ICD10CM:A03.3A03.3
MONDO:0021678,ICD10CM:A03.3A03.3
MONDO:0044965,ICD10CM:A03.3A03.3
MONDO:0045031,ICD10CM:A03.3A03.3
MONDO:0000252,ICD10CM:A03.9A03.9
MONDO:0005265,ICD10CM:A03.9A03.9
MONDO:0019345,ICD10CM:A03.9A03.9
MONDO:0021678,ICD10CM:A03.9A03.9
MONDO:0044965,ICD10CM:A03.9A03.9
MONDO:0045031,ICD10CM:A03.9A03.9
MONDO:0000916,ICD10CM:A04.1A04.1
MONDO:0020920,ICD10CM:A04.1A04.1
MONDO:0021678,ICD10CM:A04.1A04.1
MONDO:0044965,ICD10CM:A04.1A04.1
MONDO:0000916,ICD10CM:A04.4A04.4
MONDO:0044965,ICD10CM:A04.4A04.4
MONDO:0000916,ICD10CM:A04.5A04.5
MONDO:0005688,ICD10CM:A04.5A04.5
MONDO:0021678,ICD10CM:A04.5A04.5
MONDO:0044965,ICD10CM:A04.5A04.5
MONDO:0000916,ICD10CM:A04.6A04.6
MONDO:0005265,ICD10CM:A04.6A04.6
MONDO:0021678,ICD10CM:A04.6A04.6
MONDO:0042370,ICD10CM:A04.6A04.6
MONDO:0044965,ICD10CM:A04.6A04.6
MONDO:0000705,ICD10CM:A04.71A04.71
MONDO:0000916,ICD10CM:A04.71A04.71
MONDO:0044965,ICD10CM:A04.71A04.71
MONDO:0000705,ICD10CM:A04.72A04.72
MONDO:0000916,ICD10CM:A04.72A04.72
MONDO:0044965,ICD10CM:A04.72A04.72
MONDO:0000705,ICD10CM:A04.7A04.7
MONDO:0000916,ICD10CM:A04.7A04.7
MONDO:0044965,ICD10CM:A04.7A04.7
MONDO:0000916,ICD10CM:A04.8A04.8
MONDO:0044965,ICD10CM:A04.8A04.8
MONDO:0000916,ICD10CM:A04.9A04.9
MONDO:0005113,ICD10CM:A04.9A04.9
MONDO:0005265,ICD10CM:A04.9A04.9
MONDO:0044965,ICD10CM:A04.9A04.9
MONDO:0000916,ICD10CM:A05.5A05.5
MONDO:0044965,ICD10CM:A05.5A05.5
MONDO:0000916,ICD10CM:A05.9A05.9
MONDO:0044965,ICD10CM:A05.9A05.9
MONDO:0000916,ICD10CM:A07.1A07.1
MONDO:0001103,ICD10CM:A07.1A07.1
MONDO:0044965,ICD10CM:A07.1A07.1
MONDO:0000916,ICD10CM:A07.2A07.2
MONDO:0015474,ICD10CM:A07.2A07.2
MONDO:0044965,ICD10CM:A07.2A07.2
MONDO:0001955,ICD10CM:A07.8A07.8
MONDO:0002154,ICD10CM:A07.8A07.8
MONDO:0005846,ICD10CM:A07.8A07.8
MONDO:0018903,ICD10CM:A07.8A07.8
MONDO:0024608,ICD10CM:A07.8A07.8
MONDO:0044965,ICD10CM:A07.8A07.8
MONDO:0000916,ICD10CM:A08.0A08.0
MONDO:0002270,ICD10CM:A08.0A08.0
MONDO:0005194,ICD10CM:A08.0A08.0
MONDO:0005265,ICD10CM:A08.0A08.0
MONDO:0044965,ICD10CM:A08.0A08.0
MONDO:0044991,ICD10CM:A08.0A08.0
MONDO:0000916,ICD10CM:A08.11A08.11
MONDO:0044965,ICD10CM:A08.11A08.11
MONDO:0000916,ICD10CM:A08.19A08.19
MONDO:0044965,ICD10CM:A08.19A08.19
MONDO:0000916,ICD10CM:A08.39A08.39
MONDO:0044965,ICD10CM:A08.39A08.39
MONDO:0000916,ICD10CM:A08.4A08.4
MONDO:0002270,ICD10CM:A08.4A08.4
MONDO:0005265,ICD10CM:A08.4A08.4
MONDO:0044965,ICD10CM:A08.4A08.4
MONDO:0044991,ICD10CM:A08.4A08.4
MONDO:0000916,ICD10CM:A08.8A08.8
MONDO:0044965,ICD10CM:A08.8A08.8
MONDO:0000916,ICD10CM:A09A09
MONDO:0004966,ICD10CM:A09A09
MONDO:0006039,ICD10CM:A09A09
MONDO:0044965,ICD10CM:A09A09
MONDO:0044991,ICD10CM:A09A09
MONDO:0004652,ICD10CM:A15.0A15.0
MONDO:0004813,ICD10CM:A15.0A15.0
MONDO:0004822,ICD10CM:A15.0A15.0
MONDO:0006921,ICD10CM:A15.0A15.0
MONDO:0021953,ICD10CM:A15.0A15.0
MONDO:0043905,ICD10CM:A15.0A15.0
MONDO:0003781,ICD10CM:A15.5A15.5
MONDO:0005709,ICD10CM:A15.5A15.5
MONDO:0005819,ICD10CM:A15.5A15.5
MONDO:0006052,ICD10CM:A15.5A15.5
MONDO:0006921,ICD10CM:A15.5A15.5
MONDO:0043905,ICD10CM:A15.5A15.5
MONDO:0003900,ICD10CM:A15.6A15.6
MONDO:0005922,ICD10CM:A15.6A15.6
MONDO:0006052,ICD10CM:A15.6A15.6
MONDO:0006921,ICD10CM:A15.6A15.6
MONDO:0043905,ICD10CM:A15.6A15.6
MONDO:0006052,ICD10CM:A15.7A15.7
MONDO:0006921,ICD10CM:A15.7A15.7
MONDO:0024355,ICD10CM:A15.7A15.7
MONDO:0043905,ICD10CM:A15.7A15.7
MONDO:0006052,ICD10CM:A15.9A15.9
MONDO:0006921,ICD10CM:A15.9A15.9
MONDO:0024355,ICD10CM:A15.9A15.9
MONDO:0043905,ICD10CM:A15.9A15.9
MONDO:0004471,ICD10CM:A18.01A18.01
MONDO:0006921,ICD10CM:A18.01A18.01
MONDO:0024505,ICD10CM:A18.01A18.01
MONDO:0043836,ICD10CM:A18.01A18.01
MONDO:0001551,ICD10CM:A18.18A18.18
MONDO:0006002,ICD10CM:A18.18A18.18
MONDO:0006921,ICD10CM:A18.18A18.18
MONDO:0021166,ICD10CM:A18.18A18.18
MONDO:0024505,ICD10CM:A18.18A18.18
MONDO:0043839,ICD10CM:A18.18A18.18
MONDO:0002052,ICD10CM:A18.2A18.2
MONDO:0005831,ICD10CM:A18.2A18.2
MONDO:0006921,ICD10CM:A18.2A18.2
MONDO:0024505,ICD10CM:A18.2A18.2
MONDO:0004902,ICD10CM:A18.52A18.52
MONDO:0006876,ICD10CM:A18.52A18.52
MONDO:0006921,ICD10CM:A18.52A18.52
MONDO:0016047,ICD10CM:A18.52A18.52
MONDO:0005903,ICD10CM:A18.84A18.84
MONDO:0006921,ICD10CM:A18.84A18.84
MONDO:0024636,ICD10CM:A18.84A18.84
MONDO:0043707,ICD10CM:A18.84A18.84
MONDO:0006921,ICD10CM:A18.89A18.89
MONDO:0018076,ICD10CM:A18.89A18.89
MONDO:0003900,ICD10CM:A19.9A19.9
MONDO:0005848,ICD10CM:A19.9A19.9
MONDO:0006921,ICD10CM:A19.9A19.9
MONDO:0020683,ICD10CM:A19.9A19.9
MONDO:0021166,ICD10CM:A19.9A19.9
MONDO:0024505,ICD10CM:A19.9A19.9
MONDO:0001112,ICD10CM:A20.0A20.0
MONDO:0004928,ICD10CM:A20.0A20.0
MONDO:0021166,ICD10CM:A20.0A20.0
MONDO:0021678,ICD10CM:A20.0A20.0
MONDO:0024505,ICD10CM:A20.0A20.0
MONDO:0005119,ICD10CM:A22.9A22.9
MONDO:0005825,ICD10CM:A27.9A27.9
MONDO:0005901,ICD10CM:A28.0A28.0
MONDO:0021678,ICD10CM:A28.0A28.0
MONDO:0006921,ICD10CM:A31.0A31.0
MONDO:0018469,ICD10CM:A31.0A31.0
MONDO:0000327,ICD10CM:A31.1A31.1
MONDO:0006921,ICD10CM:A31.1A31.1
MONDO:0021201,ICD10CM:A31.1A31.1
MONDO:0043314,ICD10CM:A31.1A31.1
MONDO:0043839,ICD10CM:A31.1A31.1
MONDO:0017832,ICD10CM:A31.8A31.8
MONDO:0006921,ICD10CM:A31.9A31.9
MONDO:0020590,ICD10CM:A31.9A31.9
MONDO:0005828,ICD10CM:A32.11A32.11
MONDO:0021679,ICD10CM:A32.11A32.11
MONDO:0005828,ICD10CM:A32.12A32.12
MONDO:0021679,ICD10CM:A32.12A32.12
MONDO:0005828,ICD10CM:A32.7A32.7
MONDO:0021679,ICD10CM:A32.7A32.7
MONDO:0005828,ICD10CM:A32.82A32.82
MONDO:0006669,ICD10CM:A32.82A32.82
MONDO:0021679,ICD10CM:A32.82A32.82
MONDO:0043707,ICD10CM:A32.82A32.82
MONDO:0005828,ICD10CM:A32.9A32.9
MONDO:0021679,ICD10CM:A32.9A32.9
MONDO:0005526,ICD10CM:A35A35
MONDO:0024505,ICD10CM:A35A35
MONDO:0005077,ICD10CM:A37.80A37.80
MONDO:0005077,ICD10CM:A37.90A37.90
MONDO:0005077,ICD10CM:A37.91A37.91
MONDO:0005952,ICD10CM:A38.9A38.9
MONDO:0006547,ICD10CM:A38.9A38.9
MONDO:0018180,ICD10CM:A38.9A38.9
MONDO:0021201,ICD10CM:A38.9A38.9
MONDO:0005373,ICD10CM:A39.9A39.9
MONDO:0021678,ICD10CM:A39.9A39.9
MONDO:0005114,ICD10CM:A40.3A40.3
MONDO:0018111,ICD10CM:A40.3A40.3
MONDO:0021166,ICD10CM:A40.3A40.3
MONDO:0005545,ICD10CM:A41.01A41.01
MONDO:0021166,ICD10CM:A41.01A41.01
MONDO:0021679,ICD10CM:A41.01A41.01
MONDO:0005545,ICD10CM:A41.02A41.02
MONDO:0021166,ICD10CM:A41.02A41.02
MONDO:0021679,ICD10CM:A41.02A41.02
MONDO:0006926,ICD10CM:A41.3A41.3
MONDO:0021166,ICD10CM:A41.3A41.3
MONDO:0021678,ICD10CM:A41.3A41.3
MONDO:0005141,ICD10CM:A41.52A41.52
MONDO:0021166,ICD10CM:A41.52A41.52
MONDO:0021678,ICD10CM:A41.52A41.52
MONDO:0021166,ICD10CM:A41.53A41.53
MONDO:0021678,ICD10CM:A41.53A41.53
MONDO:0021166,ICD10CM:A41.81A41.81
MONDO:0021679,ICD10CM:A41.81A41.81
MONDO:0005275,ICD10CM:A42.0A42.0
MONDO:0005631,ICD10CM:A42.0A42.0
MONDO:0024355,ICD10CM:A42.0A42.0
MONDO:0005699,ICD10CM:A42.2A42.2
MONDO:0005631,ICD10CM:A42.89A42.89
MONDO:0005631,ICD10CM:A42.9A42.9
MONDO:0005275,ICD10CM:A43.0A43.0
MONDO:0006921,ICD10CM:A43.0A43.0
MONDO:0017776,ICD10CM:A43.0A43.0
MONDO:0024355,ICD10CM:A43.0A43.0
MONDO:0006921,ICD10CM:A43.9A43.9
MONDO:0017776,ICD10CM:A43.9A43.9
MONDO:0001266,ICD10CM:A46A46
MONDO:0005230,ICD10CM:A46A46
MONDO:0005767,ICD10CM:A48.0A48.0
MONDO:0005824,ICD10CM:A48.1A48.1
MONDO:0041850,ICD10CM:A48.1A48.1
MONDO:0043905,ICD10CM:A48.1A48.1
MONDO:0020544,ICD10CM:A48.3A48.3
MONDO:0020545,ICD10CM:A48.3A48.3
MONDO:0020683,ICD10CM:A48.3A48.3
MONDO:0016003,ICD10CM:A48.8A48.8
MONDO:0005545,ICD10CM:A49.01A49.01
MONDO:0021679,ICD10CM:A49.01A49.01
MONDO:0024505,ICD10CM:A49.01A49.01
MONDO:0005545,ICD10CM:A49.02A49.02
MONDO:0021679,ICD10CM:A49.02A49.02
MONDO:0024505,ICD10CM:A49.02A49.02
MONDO:0005113,ICD10CM:A49.1A49.1
MONDO:0024505,ICD10CM:A49.1A49.1
MONDO:0005113,ICD10CM:A49.2A49.2
MONDO:0024505,ICD10CM:A49.2A49.2
MONDO:0005113,ICD10CM:A49.3A49.3
MONDO:0024505,ICD10CM:A49.3A49.3
MONDO:0005113,ICD10CM:A49.8A49.8
MONDO:0024505,ICD10CM:A49.8A49.8
MONDO:0005113,ICD10CM:A49.9A49.9
MONDO:0024505,ICD10CM:A49.9A49.9
MONDO:0000333,ICD10CM:A50.02A50.02
MONDO:0005976,ICD10CM:A51.0A51.0
MONDO:0021201,ICD10CM:A51.0A51.0
MONDO:0002519,ICD10CM:A51.1A51.1
MONDO:0005976,ICD10CM:A51.1A51.1
MONDO:0024505,ICD10CM:A51.1A51.1
MONDO:0002897,ICD10CM:A51.31A51.31
