Row Labels,has modifier,disease has feature,predisposes towards,disease arises from feature,disease shares features of,disease has major feature,disease causes feature,realized in response to stimulus,part of progression of disease
rare,1407,,,,,,,,
inherited,206,2,,,,,,,
acquired,103,,,,,,,,
has an isolated presentation,95,,,,,,,,
has a syndromic presentation,36,,,,,,,,
"tumor grade 1, general grading system",33,,,,,,,,
dysentery,,26,,,,,,,
congenital,21,,,,,,,,
autism (disease),,,20,,,,,,
exanthem (disease),,16,,,,,,,
"tumor grade 1 or 2, general grading system",15,,,,,,,,
structural epilepsy,,14,,,,,,,
"tumor grade 2, general grading system",14,,,,,,,,
epilepsy,,2,,,,11,,,
B-cell chronic lymphocytic leukemia,,,10,2,,,,,
malignant glioma,,,12,,,,,,
anemia (disease),,11,,,,,,,
cardiomyopathy,,11,,,,,,,
disseminated,11,,,,,,,,
infectious disease,,,2,7,,,,2,
systemic lupus erythematosus (disease),,,9,2,,,,,
generalised epilepsy,,,10,,,,,,
hyperpigmentation of the skin,,10,,,,,,,
"tumor grade 3, general grading system",9,,,,,,,,
cataract (disease),,6,,,,2,,,
colorectal cancer,,,8,,,,,,
constipation disorder,,8,,,,,,,
cutaneous melanoma (disease),,,8,,,,,,
diabetes mellitus (disease),,,,8,,,,,
hypertensive disorder,,2,,6,,,,,
inherited retinal dystrophy,,8,,,,,,,
intellectual disability,,8,,,,,,,
osteoarthritis,,,8,,,,,,
pituitary hormone deficiency from tumoral origin,,8,,,,,,,
psoriasis,,,6,,,2,,,
cleft palate,,7,,,,,,,
coronary artery disease,,,6,1,,,,,
situs inversus,,7,,,,,,,
"tumor grade 3 or 4, general grading system",7,,,,,,,,
celiac disease,,,5,,1,,,,
childhood absence epilepsy,,,6,,,,,,
conjunctivitis (disease),,6,,,,,,,
Hirschsprung disease,,,6,,,,,,
HIV infectious disease,,,2,4,,,,,
leprosy,,,6,,,,,,
malignant pancreatic neoplasm,,,6,,,,,,
palpebral lentiginosis,,6,,,,,,,
idiopathic scoliosis,,,5,,,,,,
kidney failure,,3,,,,,2,,
neoplasm (disease),,1,,2,,2,,,
opportunistic infectious,5,,,,,,,,
Parkinson disease,,,5,,,,,,
type 2 diabetes mellitus,,,,5,,,,,
viral infectious disease,,,,5,,,,,
Asperger syndrome,,,4,,,,,,
autoimmune disease,,,4,,,,,,
bacterial infectious disease,,,,2,,,,2,
benign tumor of palpebral epidermis,,4,,,,,,,
blindness (disorder),,4,,,,,,,
cancer,,2,,2,,,,,
contracture,,4,,,,,,,
"corpus callosum, agenesis of",,4,,,,,,,
Cushing syndrome,,1,,,1,2,,,
dementia,,4,,,,,,,
focal segmental glomerulosclerosis,,,4,,,,,,
glaucoma (disease),,4,,,,,,,
human papilloma virus infection,,,,4,,,,,
hyperphosphatemia (disease),,4,,,,,,,
hypogonadism,,4,,,,,,,
hypotropia,,4,,,,,,,
inherited neurodegenerative disorder,,,,4,,,,,
Klippel-Feil syndrome,,4,,,,,,,
melanoma (disease),,2,,2,,,,,
melioidosis,,,4,,,,,,
microphthalmia,,4,,,,,,,
multiple sclerosis,,,2,,2,,,,
osteochondrodysplasia,,4,,,,,,,
peripheral precocious puberty,,4,,,,,,,
primary infectious,4,,,,,,,,
punctate palmoplantar keratoderma,,,,,,4,,,
rheumatoid arthritis,,,,4,,,,,
sarcoidosis,,,4,,,,,,
skin neoplasm,,4,,,,,,,
type 1 diabetes mellitus,,2,,2,,,,,
AIDS,,1,,2,,,,,
amblyopia (disease),,3,,,,,,,
bulimia nervosa,,,3,,,,,,
carcinoid tumor (disease),,2,,1,,,,,
early-onset autosomal dominant Alzheimer disease,,,3,,,,,,
injury,,,,3,,,,,
ischemic disease,,1,,2,,,,,
juvenile myoclonic epilepsy,,,3,,,,,,
Kaposi's sarcoma (disease),,1,2,,,,,,
multiple system atrophy,,,3,,,,,,
nephrolithiasis,,,3,,,,,,
neuroblastoma,,,3,,,,,,
neurodegenerative disease,,,,3,,,,,
Noonan syndrome,,,,,3,,,,
pharyngitis,,3,,,,,,,
pulmonary hypertension,,,1,,,2,,,
rubella,,,,3,,,,,
secondary hyperparathyroidism (disease),,,,3,,,,,
skin disease,,3,,,,,,,
Zollinger-Ellison syndrome,,3,,,,,,,
acne (disease),,2,,,,,,,
acquired peripheral neuropathy,,,,,,2,,,
acute pancreatitis,,2,,,,,,,
adrenal/paraganglial tumor,,2,,,,,,,
alopecia,,2,,,,,,,
alpha thalassemia,,1,,,1,,,,
anodontia,,2,,,,,,,
anterior uveitis (disease),,2,,,,,,,
arachnoid cyst,,2,,,,,,,
Arts syndrome,,2,,,,,,,
aspergillosis,,,2,,,,,,
asthma,,,2,,,,,,
ataxia telangiectasia,,,,,2,,,,
atrioventricular septal defect,,,2,,,,,,
attention deficit hyperactivity disorder,,,2,,,,,,
autoimmune thyroid disease,,,2,,,,,,
bile duct adenocarcinoma,,2,,,,,,,
bone benign neoplasm,,2,,,,,,,
bone marrow cancer,,2,,,,,,,
brain ischemia,,2,,,,,,,
breast carcinoma,,2,,,,,,,
Camurati-Engelmann disease,,,,,2,,,,
candidiasis,,,2,,,,,,
carcinoma,,,,2,,,,,
central nervous system malformation,,,,,,2,,,
cerebral palsy,,2,,,,,,,
Chagas disease,,,,2,,,,,
Charcot-Marie-Tooth disease,,2,,,,,,,
choroiditis,,2,,,,,,,
cirrhosis of liver,,2,,,,,,,
clubfoot,,2,,,,,,,
coenzyme Q10 deficiency,,2,,,,,,,
coloboma,,2,,,,,,,
conjunctival hemangioma or hemolymphangioma,,2,,,,,,,
corneal degeneration,,2,,,,,,,
cortisol-producing adrenal cortex adenoma,,,,2,,,,,
craniosynostosis,,,2,,,,,,
Dandy-Walker syndrome,,2,,,,,,,
dengue disease,,,2,,,,,,
dermoid cyst,,2,,,,,,,
diabetic retinopathy,,,2,,,,,,
digestive system cancer,,2,,,,,,,
"duodenal neuroendocrine tumor, well differentiated, low or intermediate grade",,2,,,,,,,
dyslexia (disease),,,2,,,,,,
elephantiasis,,2,,,,,,,
endocrine gland neoplasm,,2,,,,,,,
