Var1,Var2,Freq
MONDO:0005662,ICD9CM:007.0,12
MONDO:0006052,ICD9CM:011.90,12
MONDO:0005969,ICD9CM:062.3,12
MONDO:0002154,ICD9CM:131.9,12
MONDO:0007886,ICD9CM:218.9,12
MONDO:0006500,ICD9CM:228.00,12
MONDO:0004708,ICD9CM:230.1,12
MONDO:0004623,ICD9CM:233.4,12
MONDO:0004647,ICD9CM:234.9,12
MONDO:0021061,ICD9CM:237.70,12
MONDO:0005029,ICD9CM:238.71,12
MONDO:0018881,ICD9CM:238.75,12
MONDO:0004946,ICD9CM:251.2,12
MONDO:0005393,ICD9CM:274.0,12
MONDO:0005393,ICD9CM:274.00,12
MONDO:0001566,ICD9CM:275.42,12
MONDO:0005066,ICD9CM:277.9,12
MONDO:0011122,ICD9CM:278.00,12
MONDO:0000984,ICD9CM:282.4,12
MONDO:0001198,ICD9CM:287.4,12
MONDO:0001117,ICD9CM:289.7,12
MONDO:0001896,ICD9CM:331.4,12
MONDO:0001541,ICD9CM:355.6,12
MONDO:0006888,ICD9CM:357.3,12
MONDO:0001383,ICD9CM:360.21,12
MONDO:0004390,ICD9CM:360.30,12
MONDO:0005338,ICD9CM:365.10,12
MONDO:0005338,ICD9CM:365.13,12
MONDO:0008327,ICD9CM:365.52,12
MONDO:0001965,ICD9CM:370.54,12
MONDO:0002043,ICD9CM:374.10,12
MONDO:0001793,ICD9CM:375.20,12
MONDO:0001377,ICD9CM:379.21,12
MONDO:0002246,ICD9CM:380.00,12
MONDO:0002738,ICD9CM:381.00,12
MONDO:0006530,ICD9CM:385.30,12
MONDO:0008656,ICD9CM:386.11,12
MONDO:0002317,ICD9CM:386.2,12
MONDO:0000745,ICD9CM:427.5,12
MONDO:0006983,ICD9CM:435.2,12
MONDO:0008889,ICD9CM:443.1,12
MONDO:0001752,ICD9CM:526.5,12
MONDO:0004570,ICD9CM:560.2,12
MONDO:0001711,ICD9CM:572.2,12
MONDO:0001751,ICD9CM:576.2,12
MONDO:0006679,ICD9CM:596.0,12
MONDO:0004983,ICD9CM:606.0,12
MONDO:0001725,ICD9CM:607.81,12
MONDO:0006977,ICD9CM:608.1,12
MONDO:0008541,ICD9CM:608.2,12
MONDO:0008541,ICD9CM:608.20,12
MONDO:0006592,ICD9CM:696.2,12
MONDO:0004907,ICD9CM:704.00,12
MONDO:0004646,ICD9CM:707.0,12
MONDO:0004646,ICD9CM:707.00,12
MONDO:0005492,ICD9CM:708.9,12
MONDO:0003940,ICD9CM:721.7,12
MONDO:0002181,ICD9CM:726.91,12
MONDO:0001858,ICD9CM:733.6,12
MONDO:0000827,ICD9CM:003.9,11
MONDO:0005971,ICD9CM:005.0,11
MONDO:0005848,ICD9CM:018.90,11
MONDO:0005901,ICD9CM:027.2,11
MONDO:0005952,ICD9CM:034.1,11
MONDO:0001266,ICD9CM:035,11
MONDO:0005767,ICD9CM:040.0,11
MONDO:0005945,ICD9CM:040.1,11
MONDO:0005116,ICD9CM:040.2,11
MONDO:0001881,ICD9CM:040.82,11
MONDO:0005109,ICD9CM:042,11
MONDO:0016318,ICD9CM:046.3,11
MONDO:0007015,ICD9CM:047.9,11
MONDO:0005717,ICD9CM:051.2,11
MONDO:0005770,ICD9CM:054.10,11
MONDO:0004616,ICD9CM:054.6,11
MONDO:0006544,ICD9CM:057.0,11
MONDO:0006619,ICD9CM:057.9,11
MONDO:0005502,ICD9CM:061,11
MONDO:0019173,ICD9CM:071,11
MONDO:0005779,ICD9CM:074.3,11
MONDO:0001615,ICD9CM:077.1,11
MONDO:0005855,ICD9CM:078.0,11
MONDO:0001795,ICD9CM:078.12,11
MONDO:0005692,ICD9CM:078.3,11
MONDO:0005132,ICD9CM:078.5,11
MONDO:0006008,ICD9CM:078.81,11
MONDO:0001195,ICD9CM:082.0,11
MONDO:0000225,ICD9CM:082.41,11
MONDO:0005921,ICD9CM:084.1,11
MONDO:0005136,ICD9CM:084.6,11
MONDO:0011989,ICD9CM:085.9,11
MONDO:0019633,ICD9CM:087.9,11
MONDO:0005661,ICD9CM:088.82,11
MONDO:0005714,ICD9CM:090.9,11
MONDO:0002897,ICD9CM:091.9,11
MONDO:0004497,ICD9CM:097.0,11
MONDO:0005822,ICD9CM:097.1,11
MONDO:0001080,ICD9CM:098.15,11
MONDO:0005777,ICD9CM:099.2,11
MONDO:0021681,ICD9CM:099.9,11
MONDO:0001699,ICD9CM:110.2,11
MONDO:0005984,ICD9CM:110.4,11
MONDO:0004678,ICD9CM:110.9,11
MONDO:0005915,ICD9CM:111.0,11
MONDO:0005886,ICD9CM:112.0,11
MONDO:0006014,ICD9CM:112.1,11
MONDO:0001648,ICD9CM:112.84,11
MONDO:0002026,ICD9CM:112.9,11
MONDO:0001263,ICD9CM:115.92,11
MONDO:0005968,ICD9CM:117.1,11
MONDO:0005657,ICD9CM:117.3,11
MONDO:0005724,ICD9CM:117.5,11
MONDO:0019136,ICD9CM:117.7,11
MONDO:0002312,ICD9CM:118,11
MONDO:0005746,ICD9CM:127.4,11
MONDO:0005988,ICD9CM:128.0,11
MONDO:0004664,ICD9CM:128.9,11
MONDO:0005989,ICD9CM:130.9,11
MONDO:0030720,ICD9CM:131.01,11
MONDO:0030705,ICD9CM:131.03,11
MONDO:0003471,ICD9CM:132.0,11
MONDO:0003482,ICD9CM:132.1,11
MONDO:0001794,ICD9CM:132.2,11
MONDO:0004525,ICD9CM:133.0,11
MONDO:0019147,ICD9CM:134.0,11
MONDO:0007074,ICD9CM:136.0,11
