MonDO axiom predicate,predicate label,"MonDO axiom ""some values from"" object",object label,count
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0021136,rare,7064
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0021152,inherited,4432
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0032502,developmental process,3381
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001016,nervous system,3220
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0021140,congenital,2776
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0048598,embryonic morphogenesis,2695
http://purl.obolibrary.org/obo/RO_0002573,has modifier,http://purl.obolibrary.org/obo/MONDO_0021127,has a syndromic presentation,2279
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0007811,,1960
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001017,,1872
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000033,,1870
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002204,,1845
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000955,,1558
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002384,,1554
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001456,,1470
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002104,,1417
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0004088,,1411
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000019,,1393
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0010230,,1393
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001434,,1302
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0008152,,1257
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002481,,1124
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/MF_0000020,,1074
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0008283,,1064
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002416,,1044
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0004535,,891
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/GO_0060348,,887
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000014,,817
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000949,,816
http://purl.obolibrary.org/obo/RO_0004021,disease has basis in disruption of,http://purl.obolibrary.org/obo/MF_0000020,,806
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001007,,758
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002417,,744
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002405,,735
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000915,,710
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000010,,708
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002390,,617
http://purl.obolibrary.org/obo/RO_0004027,disease has inflammation site,http://purl.obolibrary.org/obo/UBERON_0000061,,609
http://purl.obolibrary.org/obo/RO_0004024,disease causes disruption of,http://purl.obolibrary.org/obo/GO_0006954,,609
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0004122,,603
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001008,,571
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0000990,,570
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0001630,,532
http://purl.obolibrary.org/obo/RO_0004026,disease has location,http://purl.obolibrary.org/obo/UBERON_0002385,,526
