"ICD MATCH FOR HTTP://PURL.OBOLIBRARY.ORG/OBO/MONDO_0008903","""MONDO OWL:EQUIVALENTCLASS SNOMED -> SHARED CUI""","""MONDO OWL:EQUIVALENTCLASS SNOMED WITH ICD9 MAP""","""MONDO OBOINOWL:HASDBXREF SNOMED -> SHARED CUI""","""MONDO OBOINOWL:HASDBXREF SNOMED WITH ICD9 MAP""","""MONDO SKOS:CLOSEMATCH SNOMED -> SHARED CUI""","""MONDO SKOS:CLOSEMATCH SNOMED WITH ICD9 MAP""","""MONDO SKOS:EXACTMATCH SNOMED -> SHARED CUI""","""MONDO SKOS:EXACTMATCH SNOMED WITH ICD9 MAP""","""MONDO OBOINOWL:HASDBXREF CUI""","""MONDO SKOS:CLOSEMATCH CUI""","""MONDO SKOS:EXACTMATCH CUI""","""MONDO OBOINOWL:HASDBXREF ICD10""","""MONDO OBOINOWL:HASDBXREF ICD9 WITHOUT RANGE SUBCLASSES""","""CUI OWL:EQUIVALENTCLASS MONDO""","""ICD9 OWL:EQUIVALENTCLASS MONDO""","""ICD10 OWL:EQUIVALENTCLASS MONDO"""
"http://purl.bioontology.org/ontology/icd10cm/c34","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.00","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.01","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.02","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.10","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.11","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.12","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.2","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.3","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.30","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.31","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.32","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.8","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.80","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.81","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.82","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.90","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.91","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c34.92","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c46.5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c46.50","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c46.51","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c46.52","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c78.0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c78.00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"http://purl.bioontology.org/ontology/icd10cm/c78.01","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
