i,explanation,fractional positions,,
ICD10CM:A00-B99,range,,,
ICD10CM:A20-A28,range,,,
ICD10CM:A24,no fractional part,,,
ICD10CM:A28,no fractional part,,,
ICD10CM:A28.8,,1,,
ICD10CM:A30-A49,range,,,
ICD10CM:A31,no fractional part,,,
ICD10CM:A31.2,,1,,
ICD10CM:A40,no fractional part,,,
ICD10CM:A40.0,,1,,
ICD10CM:A40.1,,1,,
ICD10CM:A40.8,,1,,
ICD10CM:A40.9,,1,,
ICD10CM:A41,no fractional part,,,
ICD10CM:A41.1,,1,,
ICD10CM:A41.2,,1,,
ICD10CM:A41.4,,1,,
ICD10CM:A41.5,,1,,
ICD10CM:A41.50,,2,,
ICD10CM:A41.51,,2,,
ICD10CM:A41.59,,2,,
ICD10CM:A41.8,,1,,
ICD10CM:A41.89,,2,,
ICD10CM:A41.9,,1,,
ICD10CM:A48,no fractional part,,,
ICD10CM:A48.5,,1,,
ICD10CM:A65-A69,range,,,
ICD10CM:A69,no fractional part,,,
ICD10CM:A69.8,,1,,
ICD10CM:A70-A74,range,,,
ICD10CM:A74,no fractional part,,,
ICD10CM:A74.8,,1,,
ICD10CM:A74.89,,2,,
ICD10CM:A80-A89,range,,,
ICD10CM:A81,no fractional part,,,
ICD10CM:A83,no fractional part,,,
ICD10CM:A83.8,,1,,
ICD10CM:A83.9,,1,,
ICD10CM:A88,no fractional part,,,
ICD10CM:A88.8,,1,,
ICD10CM:A90-A99,range,,,
ICD10CM:A92,no fractional part,,,
ICD10CM:A92.9,,1,,
ICD10CM:A93,no fractional part,,,
ICD10CM:A98,no fractional part,,,
ICD10CM:B00-B09,range,,,
ICD10CM:B08,no fractional part,,,
ICD10CM:B08.6,,1,,
ICD10CM:B08.60,,2,,
ICD10CM:B08.61,,2,,
ICD10CM:B08.62,,2,,
ICD10CM:B08.69,,2,,
ICD10CM:B10,no fractional part,,,
ICD10CM:B10.0,,1,,
ICD10CM:B10.09,,2,,
ICD10CM:B10.8,,1,,
ICD10CM:B10-B10,range,,,
ICD10CM:B25-B34,range,,,
ICD10CM:B33,no fractional part,,,
ICD10CM:B33.4,,1,,
ICD10CM:B85-B89,range,,,
ICD10CM:B88,no fractional part,,,
ICD10CM:B89,no fractional part,,,
ICD10CM:B95,no fractional part,,,
ICD10CM:B95.0,,1,,
ICD10CM:B95.1,,1,,
ICD10CM:B95.2,,1,,
ICD10CM:B95.3,,1,,
ICD10CM:B95.4,,1,,
ICD10CM:B95.5,,1,,
ICD10CM:B95.6,,1,,
ICD10CM:B95.61,,2,,
ICD10CM:B95.62,,2,,
ICD10CM:B95.7,,1,,
ICD10CM:B95.8,,1,,
ICD10CM:B95-B97,range,,,
ICD10CM:B96,no fractional part,,,
ICD10CM:B96.1,,1,,
ICD10CM:B96.2,,1,,
ICD10CM:B96.21,,2,,
ICD10CM:B96.22,,2,,
ICD10CM:B96.23,,2,,
ICD10CM:B96.29,,2,,
ICD10CM:B96.3,,1,,
ICD10CM:B96.4,,1,,
ICD10CM:B96.5,,1,,
ICD10CM:B96.6,,1,,
ICD10CM:B96.7,,1,,
ICD10CM:B96.8,,1,,
ICD10CM:B96.81,,2,,
ICD10CM:B96.82,,2,,
ICD10CM:B96.89,,2,,
ICD10CM:B97,no fractional part,,,
ICD10CM:B97.0,,1,,
ICD10CM:B97.1,,1,,
ICD10CM:B97.10,,2,,
ICD10CM:B97.11,,2,,
ICD10CM:B97.12,,2,,
ICD10CM:B97.19,,2,,
ICD10CM:B97.2,,1,,
ICD10CM:B97.21,,2,,
ICD10CM:B97.29,,2,,
ICD10CM:B97.3,,1,,
ICD10CM:B97.30,,2,,
ICD10CM:B97.31,,2,,
ICD10CM:B97.32,,2,,
ICD10CM:B97.33,,2,,
ICD10CM:B97.34,,2,,
ICD10CM:B97.35,,2,,
ICD10CM:B97.39,,2,,
ICD10CM:B97.4,,1,,
ICD10CM:B97.5,,1,,
ICD10CM:B97.6,,1,,
ICD10CM:B97.7,,1,,
ICD10CM:B97.8,,1,,
ICD10CM:B97.81,,2,,
ICD10CM:B97.89,,2,,
ICD10CM:B99,no fractional part,,,
ICD10CM:B99.8,,1,,
ICD10CM:B99.9,,1,,
ICD10CM:B99-B99,range,,,
ICD10CM:C00-C75,range,,,
ICD10CM:C00-C96,range,,,
ICD10CM:C00-D49,range,,,
ICD10CM:C40-C41,range,,,
ICD10CM:C41,no fractional part,,,
ICD10CM:C43-C44,range,,,
ICD10CM:C69,no fractional part,,,
ICD10CM:C69-C72,range,,,
ICD10CM:C72,no fractional part,,,
ICD10CM:C72.5,,1,,
ICD10CM:C72.59,,2,,
ICD10CM:C73-C75,range,,,
ICD10CM:C75,no fractional part,,,
ICD10CM:C75.8,,1,,
ICD10CM:C76,no fractional part,,,
ICD10CM:C76.0,,1,,
ICD10CM:C76-C80,range,,,
ICD10CM:C79,no fractional part,,,
ICD10CM:C79.0,,1,,
ICD10CM:C79.00,,2,,
ICD10CM:C79.01,,2,,
ICD10CM:C79.02,,2,,
ICD10CM:C79.3,,1,,
ICD10CM:C79.4,,1,,
ICD10CM:C79.40,,2,,
ICD10CM:C79.49,,2,,
ICD10CM:C79.6,,1,,
ICD10CM:C79.60,,2,,
ICD10CM:C79.8,,1,,
ICD10CM:C79.82,,2,,
ICD10CM:C79.89,,2,,
ICD10CM:C7A-C7A,range,,,
ICD10CM:C7B,no fractional part,,,
ICD10CM:C7B.0,,1,,
ICD10CM:C7B.00,,2,,
ICD10CM:C7B.01,,2,,
ICD10CM:C7B.02,,2,,
ICD10CM:C7B.03,,2,,
ICD10CM:C7B.04,,2,,
ICD10CM:C7B.09,,2,,
ICD10CM:C7B.1,,1,,
ICD10CM:C7B.8,,1,,
ICD10CM:C7B-C7B,range,,,
ICD10CM:D10,no fractional part,,,
ICD10CM:D10.3,,1,,
ICD10CM:D10.30,,2,,
ICD10CM:D10-D36,range,,,
ICD10CM:D12,no fractional part,,,
ICD10CM:D13,no fractional part,,,
ICD10CM:D13.3,,1,,
ICD10CM:D13.30,,2,,
ICD10CM:D13.39,,2,,
ICD10CM:D14,no fractional part,,,
ICD10CM:D15,no fractional part,,,
ICD10CM:D15.7,,1,,
ICD10CM:D18,no fractional part,,,
ICD10CM:D20,no fractional part,,,
ICD10CM:D20.0,,1,,
ICD10CM:D31,no fractional part,,,
ICD10CM:D33,no fractional part,,,
ICD10CM:D35,no fractional part,,,
ICD10CM:D35.7,,1,,
ICD10CM:D36,no fractional part,,,
ICD10CM:D37,no fractional part,,,
ICD10CM:D37.9,,1,,
ICD10CM:D37-D48,range,,,
ICD10CM:D38,no fractional part,,,
ICD10CM:D38.6,,1,,
ICD10CM:D3A-D3A,range,,,
ICD10CM:D43,no fractional part,,,
ICD10CM:D43.8,,1,,
ICD10CM:D47,no fractional part,,,
ICD10CM:D47.Z,,1,,
ICD10CM:D47.Z9,,2,,
ICD10CM:D48,no fractional part,,,
ICD10CM:D49-D49,range,,,
ICD10CM:D50-D89,range,,,
ICD10CM:D60-D64,range,,,
ICD10CM:D61,no fractional part,,,
ICD10CM:D63,no fractional part,,,
ICD10CM:D63.8,,1,,
ICD10CM:D64,no fractional part,,,
ICD10CM:D64.8,,1,,
ICD10CM:D64.81,,2,,
ICD10CM:D65-D69,range,,,
ICD10CM:D68,no fractional part,,,
ICD10CM:D69,no fractional part,,,
ICD10CM:D70-D77,range,,,
ICD10CM:D72,no fractional part,,,
ICD10CM:D75,no fractional part,,,
ICD10CM:D75.8,,1,,
ICD10CM:D75.89,,2,,
ICD10CM:D76,no fractional part,,,
ICD10CM:D77,no fractional part,,,
ICD10CM:D78,no fractional part,,,
ICD10CM:D78.0,,1,,
ICD10CM:D78.01,,2,,
ICD10CM:D78.02,,2,,
ICD10CM:D78.1,,1,,
ICD10CM:D78.11,,2,,
ICD10CM:D78.12,,2,,
ICD10CM:D78.2,,1,,
ICD10CM:D78.21,,2,,
ICD10CM:D78.22,,2,,
ICD10CM:D78.3,,1,,
ICD10CM:D78.31,,2,,
